DATE ; SOURCE ; PORT ; DESTINATION ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; LENGTH
11:42:06;190-0-175-100.gba.solunet.com.ar;2633;com;S;1890826048:1890826168;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2634;com;S;194243508:194243628;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2635;com;S;205737932:205738052;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2636;com;S;569721151:569721271;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2637;com;S;855051032:855051152;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2638;com;S;499983177:499983297;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2639;com;S;1074718027:1074718147;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2640;com;S;1910064303:1910064423;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2641;com;S;1037178976:1037179096;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2642;com;S;2107051510:2107051630;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2643;com;S;338653346:338653466;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2644;com;S;396310051:396310171;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2645;com;S;196892786:196892906;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2646;com;S;624912323:624912443;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2647;com;S;1418281182:1418281302;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2648;com;S;1247502939:1247503059;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2649;com;S;97958320:97958440;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2650;com;S;1359696980:1359697100;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2651;com;S;349835797:349835917;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2652;com;S;367768365:367768485;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2653;com;S;455081173:455081293;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2654;com;S;1262849347:1262849467;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2655;com;S;444010779:444010899;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2656;com;S;727345824:727345944;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2657;com;S;32346209:32346329;;512;;120
